Type,Country Code,Series Code,Description
Country-Series,Malta (MLT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, National Statistics Office"
Country-Series,Myanmar (MMR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Montenegro (MNE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Mongolia (MNG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Mozambique (MOZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Mauritania (MRT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Mauritius (MUS),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","Including Agalega, Rodrigues and Saint Brandon."
Country-Series,Mauritius (MUS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Central Statistics Office, United Nations World Population Prospects"
Country-Series,Malawi (MWI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Malaysia (MYS),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Sabah and Sarawak.
Country-Series,Malaysia (MYS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Namibia (NAM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,New Caledonia (NCL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Institute of Statistics and Economic Studies, United Nations World Population Prospects"
Country-Series,Niger (NER),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Nigeria (NGA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Nicaragua (NIC),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Netherlands (NLD),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Norway (NOR),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Svalbard and Jan Mayen Islands.
Country-Series,Norway (NOR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Statistics Norway"
Country-Series,Nepal (NPL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,New Zealand (NZL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Statistics New Zealand, United Nations World Population Prospects"
Country-Series,Oman (OMN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Pakistan (PAK),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
